SLAMBench Report run started:	2024-03-02 11:49:46

Properties:
=================

frame-limit: 0
start-frame: 0
log-file: res.txt
input: ./datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liblsdslam-cpp-library.so
save-groundtruth: 
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
enhance-image: /home/nrad/lsd/icl-nuim/contrast/frames96/exp0_frames_val_204.0/conf.json
file-output: 
alignment-technique: new
gui: true
lifelong: false
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.0002,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
camera-path: 
package-path: benchmarks/lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true
img-metrics: metr.txt

Statistics:
=================

Frame Number	Timestamp	ATE_RMSE	OrientationError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	X	Y	Z
1	0.0000000000	-nan	360.0000100179	-nan	0.0000000000	0.0000000000	0.0086230000	15005021	0	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0000001788	76.8504198615	0.0000001788	0.0000001788	0.0041115684	0.0442410000	25881384	0	-0.0006010678	-0.0001195244	0.0001060443
3	0.0800000000	0.0016729103	92.5563510655	0.0016316340	0.0019184286	0.0038099889	0.0226450000	30093317	0	-0.0005712564	-0.0001159089	-0.0002626415
4	0.1200000000	0.0017540967	45.0526859164	0.0015685259	0.0027859348	0.0028175383	0.0191360000	30894302	0	-0.0008395470	-0.0004368536	-0.0003819931
5	0.1600000000	0.0018387561	62.1842346945	0.0017807707	0.0024677047	0.0028142976	0.0180540000	31627611	0	-0.0009795624	-0.0000026952	-0.0002612030
6	0.2000000000	0.0018936640	44.2568800856	0.0018731515	0.0024513346	0.0018450567	0.0180850000	33842272	0	-0.0005845987	-0.0000757334	-0.0006002181
7	0.2400000000	0.0019211083	46.2948719302	0.0018768432	0.0026364869	0.0018203284	0.0183260000	33186695	0	-0.0005682929	0.0000713007	-0.0004218254
8	0.2800000000	0.0020241200	93.7324003576	0.0018983894	0.0031381568	0.0024169581	0.0193790000	32991147	0	-0.0006063451	0.0001757857	-0.0005147542
9	0.3200000000	0.0020700426	85.1598026095	0.0019686836	0.0030940725	0.0031613489	0.0187530000	33003612	0	-0.0010379743	0.0000522932	-0.0005211224
10	0.3600000000	0.0020586709	42.9542708034	0.0019323427	0.0032754042	0.0020684675	0.0213990000	33009685	0	-0.0013088107	0.0000750389	-0.0004509491
11	0.4000000000	0.0023331663	52.1339562554	0.0020978168	0.0039122016	0.0023041432	0.0165020000	33014502	0	-0.0008956823	0.0000751516	-0.0001808908
12	0.4400000000	0.0025150307	48.2688888079	0.0022405010	0.0040430329	0.0024719518	0.0186800000	33023431	0	-0.0007592543	-0.0000004670	-0.0004498198
13	0.4800000000	0.0025514399	46.5721434595	0.0022586533	0.0046379333	0.0034980919	0.0182710000	33028728	0	-0.0016798158	-0.0000335901	-0.0001003957
14	0.5200000000	0.0028630474	64.2009573300	0.0025022962	0.0053905044	0.0039463075	0.0271070000	33038985	0	-0.0019606946	-0.0010225872	-0.0000116302
15	0.5600000000	0.0029196360	52.6071449309	0.0025507859	0.0054956754	0.0041284261	0.0200280000	33042474	0	-0.0020312315	0.0001299302	-0.0003221689
16	0.6000000000	0.0030218820	44.2905392579	0.0026327981	0.0055360962	0.0038987687	0.0185030000	33053723	0	-0.0015772792	-0.0000093735	-0.0005183008
17	0.6400000000	0.0030324422	34.0066444435	0.0026650751	0.0056295609	0.0041076620	0.0186290000	33057628	0	-0.0031549796	-0.0012498224	-0.0008962566
18	0.6800000000	0.0039799333	42.1824082007	0.0033888709	0.0069449130	0.0040339310	0.0217020000	33076301	0	-0.0016304718	-0.0045862175	-0.0006305153
19	0.7200000000	0.0043015025	36.2193593572	0.0036214334	0.0083414847	0.0043502090	0.0181330000	33080334	0	-0.0023686956	-0.0004569970	-0.0013911019
20	0.7600000000	0.0047076315	29.5989526173	0.0039116447	0.0103140408	0.0040626976	0.0186440000	33093399	0	-0.0026753447	-0.0005101233	-0.0014837382
21	0.8000000000	0.0054256302	30.7028819419	0.0044383561	0.0126121212	0.0040206386	0.0185710000	33097920	0	-0.0018646225	-0.0001881150	-0.0016554062
22	0.8400000000	0.0063952072	31.5743799291	0.0050874288	0.0160582326	0.0042705135	0.0178850000	33113833	0	-0.0021186115	-0.0002892431	-0.0015468616
23	0.8800000000	0.0069211773	40.7055744531	0.0056013946	0.0158365257	0.0039427985	0.0222870000	33121410	0	-0.0020469197	0.0000026416	-0.0023591339
24	0.9200000000	0.0071621714	42.3793669507	0.0057817831	0.0192809142	0.0046241094	0.0227610000	33136627	0	-0.0040897792	-0.0000565503	-0.0031324273
25	0.9600000000	0.0071618476	44.5028317826	0.0057939969	0.0206912365	0.0047627506	0.0200040000	33141724	0	-0.0050068814	0.0009080205	-0.0037819098
26	1.0000000000	0.0072956734	40.3033821789	0.0058463396	0.0221399106	0.0052213414	0.0235770000	33157597	0	-0.0061394875	0.0006602191	-0.0029563860
27	1.0400000000	0.0072521061	41.4212211838	0.0057724839	0.0233249124	0.0055434260	0.0213380000	33163046	0	-0.0064737150	0.0004705629	-0.0043468466
28	1.0800000000	0.0072640245	46.4999415298	0.0058482868	0.0232268069	0.0056302582	0.0191590000	33180247	0	-0.0083616273	-0.0004536394	-0.0041511110
