SLAMBench Report run started:	2023-08-18 02:57:24

Properties:
=================

frame-limit: 0
start-frame: 0
log-file: events_UZH.txt
input: ./datasets/UZHFPV/indoor_forward_11_davis.slam
load-slam-library: ./build/lib/libevent-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
alignment-technique: new
gui: false
lifelong: false
Grey cam0-intrinsics-parameters: 0.4999709,0.6653194,0.4720705,0.519213

Statistics:
=================

Frame Number	Timestamp	Duration_Frame	CPU_Memory	GPU_Memory	X	Y	Z
1	1540823970.6330456734	0.0000150000	1073743248	0	0.0000000000	0.0000000000	0.0000000000
2	1540823970.6330456734	0.0000010000	1073745104	0	0.0000000000	0.0000000000	0.0000000000
3	1540823970.6409807205	0.0000020000	1073746264	0	0.0000000000	0.0000000000	0.0000000000
4	1540823970.6673326492	0.0000020000	1073750272	0	0.0000000000	0.0000000000	0.0000000000
5	1540823970.6673326492	0.0000010000	1073752416	0	0.0000000000	0.0000000000	0.0000000000
6	1540823970.6885616779	0.0000020000	1073754632	0	0.0000000000	0.0000000000	0.0000000000
7	1540823970.7088015079	0.0000010000	1073757824	0	0.0000000000	0.0000000000	0.0000000000
8	1540823970.7088015079	0.0000020000	1073759632	0	0.0000000000	0.0000000000	0.0000000000
9	1540823970.7342555523	0.0000010000	1073762680	0	0.0000000000	0.0000000000	0.0000000000
10	1540823970.7342555523	0.0000020000	1073766072	0	0.0000000000	0.0000000000	0.0000000000
11	1540823970.7567286491	0.0000010000	1073767216	0	0.0000000000	0.0000000000	0.0000000000
12	1540823970.7806065083	0.0000020000	1073770856	0	0.0000000000	0.0000000000	0.0000000000
13	1540823970.7806065083	0.0000020000	1073773224	0	0.0000000000	0.0000000000	0.0000000000
14	1540823970.8006486893	0.0000020000	1073775040	0	0.0000000000	0.0000000000	0.0000000000
15	1540823970.8224127293	0.0000020000	1073778456	0	0.0000000000	0.0000000000	0.0000000000
16	1540823970.8224127293	0.0000010000	1073780376	0	0.0000000000	0.0000000000	0.0000000000
17	1540823970.8429646492	0.0000020000	1073782640	0	0.0000000000	0.0000000000	0.0000000000
18	1540823970.8644225597	0.0000010000	1073786312	0	0.0000000000	0.0000000000	0.0000000000
19	1540823970.8644225597	0.0000090000	1073787896	0	0.0000000000	0.0000000000	0.0000000000
20	1540823970.8860785961	0.0000020000	1073790608	0	0.0000000000	0.0000000000	0.0000000000
21	1540823970.9065315723	0.0000020000	1073793912	0	0.0000000000	0.0000000000	0.0000000000
22	1540823970.9065315723	0.0000020000	1073795048	0	0.0000000000	0.0000000000	0.0000000000
23	1540823970.9268095493	0.0000020000	1073798096	0	0.0000000000	0.0000000000	0.0000000000
24	1540823970.9268095493	0.0000020000	1073801360	0	0.0000000000	0.0000000000	0.0000000000
25	1540823970.9627137184	0.0000020000	1073804072	0	0.0000000000	0.0000000000	0.0000000000
26	1540823970.9627137184	0.0000020000	1073807560	0	0.0000000000	0.0000000000	0.0000000000
27	1540823970.9863705635	0.0000020000	1073808592	0	0.0000000000	0.0000000000	0.0000000000
28	1540823971.0074965954	0.0000020000	1073812008	0	0.0000000000	0.0000000000	0.0000000000
29	1540823971.0074965954	0.0000020000	1073814824	0	0.0000000000	0.0000000000	0.0000000000
30	1540823971.0425286293	0.0000020000	1073817872	0	0.0000000000	0.0000000000	0.0000000000
31	1540823971.0425286293	0.0000020000	1073821024	0	0.0000000000	0.0000000000	0.0000000000
32	1540823971.0670146942	0.0000030000	1073822504	0	0.0000000000	0.0000000000	0.0000000000
33	1540823971.0892786980	0.0000020000	1073825920	0	0.0000000000	0.0000000000	0.0000000000
34	1540823971.0892786980	0.0000020000	1073828800	0	0.0000000000	0.0000000000	0.0000000000
35	1540823971.1101465225	0.0000020000	1073830728	0	0.0000000000	0.0000000000	0.0000000000
36	1540823971.1313195229	0.0000020000	1073834032	0	0.0000000000	0.0000000000	0.0000000000
37	1540823971.1313195229	0.0000020000	1073835952	0	0.0000000000	0.0000000000	0.0000000000
38	1540823971.1513257027	0.0000020000	1073838216	0	0.0000000000	0.0000000000	0.0000000000
39	1540823971.1725785732	0.0000010000	1073841520	0	0.0000000000	0.0000000000	0.0000000000
40	1540823971.1725785732	0.0000020000	1073843216	0	0.0000000000	0.0000000000	0.0000000000
41	1540823971.1940896511	0.0000020000	1073845928	0	0.0000000000	0.0000000000	0.0000000000
42	1540823971.1940896511	0.0000020000	1073849416	0	0.0000000000	0.0000000000	0.0000000000
43	1540823971.2193787098	0.0000020000	1073850672	0	0.0000000000	0.0000000000	0.0000000000
44	1540823971.2418017387	0.0000020000	1073854200	0	0.0000000000	0.0000000000	0.0000000000
45	1540823971.2418017387	0.0000020000	1073856680	0	0.0000000000	0.0000000000	0.0000000000
46	1540823971.2653975487	0.0000050000	1073858720	0	0.0000000000	0.0000000000	0.0000000000
47	1540823971.2894287109	0.0000020000	1073862360	0	0.0000000000	0.0000000000	0.0000000000
48	1540823971.2894287109	0.0000010000	1073863832	0	0.0000000000	0.0000000000	0.0000000000
49	1540823971.3118305206	0.0000030000	1073866880	0	0.0000000000	0.0000000000	0.0000000000
50	1540823971.3118305206	0.0000020000	1073870144	0	0.0000000000	0.0000000000	0.0000000000
51	1540823971.3329155445	0.0000020000	1073871176	0	0.0000000000	0.0000000000	0.0000000000
52	1540823971.3606975079	0.0000020000	1073875152	0	0.0000000000	0.0000000000	0.0000000000
53	1540823971.3606975079	0.0000020000	1073877296	0	0.0000000000	0.0000000000	0.0000000000
54	1540823971.3816046715	0.0000040000	1073879448	0	0.0000000000	0.0000000000	0.0000000000
55	1540823971.4021995068	0.0000020000	1073882752	0	0.0000000000	0.0000000000	0.0000000000
56	1540823971.4021995068	0.0000020000	1073884560	0	0.0000000000	0.0000000000	0.0000000000
57	1540823971.4238317013	0.0000020000	1073887048	0	0.0000000000	0.0000000000	0.0000000000
58	1540823971.4452056885	0.0000010000	1073890464	0	0.0000000000	0.0000000000	0.0000000000
59	1540823971.4452056885	0.0000020000	1073891712	0	0.0000000000	0.0000000000	0.0000000000
60	1540823971.4653437138	0.0000020000	1073894648	0	0.0000000000	0.0000000000	0.0000000000
61	1540823971.4853885174	0.0000010000	1073897840	0	0.0000000000	0.0000000000	0.0000000000
62	1540823971.4853885174	0.0000010000	1073898864	0	0.0000000000	0.0000000000	0.0000000000
63	1540823971.5066735744	0.0000020000	1073902136	0	0.0000000000	0.0000000000	0.0000000000
64	1540823971.5066735744	0.0000010000	1073905176	0	0.0000000000	0.0000000000	0.0000000000
65	1540823971.5335266590	0.0000030000	1073907104	0	0.0000000000	0.0000000000	0.0000000000
66	1540823971.5541937351	0.0000010000	1073911432	0	0.0000000000	0.0000000000	0.0000000000
67	1540823971.5541937351	0.0000020000	1073913352	0	0.0000000000	0.0000000000	0.0000000000
68	1540823971.5787186623	0.0000020000	1073916064	0	0.0000000000	0.0000000000	0.0000000000
69	1540823971.5989236832	0.0000020000	1073919256	0	0.0000000000	0.0000000000	0.0000000000
70	1540823971.5989236832	0.0000020000	1073920616	0	0.0000000000	0.0000000000	0.0000000000
